drug	pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	mean					Curcumin
Curcumin	KEGG_hsa05164	0.814750671	0.830429792	0.813871741	0.701043963	0.854835808	0.792855203	0.900108576	0.835433543	0.845486939	0.825525343	0.74945724	0.860150576	0.851336718	0.770565867	0.916223407	0.824138359					
Curcumin	KEGG_hsa04390	0.348730057	0.597919345	0.461163998	0.299105406	0.458907336	0.346446902	0.50862366	0.475290537	0.569979787	0.282131016	0.363206565	0.464634329	0.444598585	0.439551532	0.525868416	0.439077165					
Curcumin	KEGG_hsa04933	0.804053426	0.827123761	0.828520834	0.613909006	0.760061145	0.807430267	0.843357503	0.852333665	0.884575844	0.766183972	0.805076003	0.827203333	0.882256329	0.822798073	0.847639918	0.811501539					
Curcumin	KEGG_hsa05152	0.867707133	0.861127913	0.831590772	0.642310739	0.819328725	0.760924757	0.873722076	0.787894309	0.833429098	0.810235918	0.789665461	0.831850946	0.845040262	0.767418742	0.849559546	0.81145376					
Curcumin	KEGG_hsa04144	0.544541955	0.431499332	0.440076798	0.129171968	0.460939378	0.380516261	0.4326092	0.384646744	0.552431822	0.29283154	0.420884043	0.342120111	0.502859175	0.494382948	0.36689657	0.411760523					
Curcumin	KEGG_hsa01523	0.515344203	0.609485447	0.585113704	0.383105099	0.495457619	0.536861241	0.610606909	0.567867875	0.6296736	0.401007324	0.553013623	0.565986097	0.673209488	0.442845702	0.599814117	0.544626137					
Curcumin	KEGG_hsa01524	0.706319928	0.764925122	0.757991135	0.569629729	0.680471897	0.748227358	0.738277674	0.758480847	0.867364943	0.627289951	0.722770452	0.73363328	0.760623395	0.759297848	0.783002794	0.73188709					
Curcumin	KEGG_hsa00190	0.484503537	0.315703779	0.376689523	0.124058157	0.318713456	0.168447837	0.441842735	0.321082205	0.388598382	0.199687555	0.353986561	0.293707401	0.288238078	0.33160907	0.393761665	0.320041996					
Curcumin	KEGG_hsa04975	0.229612306	0.23773019	0.178350121	0.060223859	0.202517539	0.157869175	0.236440077	0.176392734	0.21356754	0.141475961	0.207909405	0.226280913	0.228689209	0.15956898	0.273081452	0.195313964					
Curcumin	KEGG_hsa03022	0.107531816	0.122533605	0.206353977	0.09599375	0.123686127	0.126710832	0.282193989	0.10520605	0.149999514	0.106998809	0.163273618	0.16548869	0.133907393	0.173125714	0.199341267	0.15082301					
Curcumin	KEGG_hsa04659	0.748267472	0.81763494	0.771146834	0.560598135	0.668406844	0.670677841	0.768580973	0.812528431	0.810237825	0.693575799	0.664438307	0.758195221	0.770920932	0.680993855	0.840959668	0.735810872					
Curcumin	KEGG_hsa00140	0.458652854	0.694347382	0.623261571	0.456344545	0.558144391	0.434526861	0.639714301	0.535512865	0.692046285	0.393846363	0.608314991	0.554248333	0.499250233	0.480907232	0.45797959	0.539139853					
Curcumin	KEGG_hsa05033	0.222214743	0.256287962	0.265079886	0.262832642	0.18523784	0.251764119	0.28313598	0.32370013	0.243656978	0.282645553	0.377375692	0.225942075	0.144117534	0.230417982	0.206646025	0.250737009					
Curcumin	KEGG_hsa04971	0.342886686	0.278603554	0.224368617	0.150688514	0.264162809	0.207014218	0.333547056	0.227695838	0.351860434	0.19390209	0.331918299	0.236039922	0.356331289	0.328392297	0.285674274	0.274205726					
Curcumin	KEGG_hsa04514	0.37763381	0.501986861	0.387952983	0.144080088	0.453759462	0.357999772	0.405508459	0.369852036	0.411620051	0.299442828	0.388110131	0.486771643	0.321458876	0.36689052	0.444715708	0.381185549					
Curcumin	KEGG_hsa00250	0.183578178	0.185362399	0.10789863	0.05947043	0.192504078	0.085775897	0.237457007	0.180307329	0.291020453	0.114114046	0.104882509	0.112440705	0.13799876	0.147641018	0.193055838	0.155567152					
Curcumin	KEGG_hsa04668	0.772501171	0.87161082	0.851578891	0.680130899	0.761895418	0.820970118	0.853615999	0.820302665	0.844501197	0.780325055	0.76366806	0.808323085	0.819039524	0.781850398	0.879385591	0.807313259					
Curcumin	KEGG_hsa04720	0.542762578	0.598835588	0.59673667	0.356469095	0.603991032	0.428913116	0.557867289	0.540632665	0.622777641	0.369169682	0.501976728	0.613192499	0.494233072	0.548542619	0.438760519	0.520990719					
Curcumin	KEGG_hsa05224	0.80255121	0.810441196	0.731476605	0.483528554	0.71827358	0.716281533	0.696869791	0.752665758	0.746473789	0.559318781	0.71478039	0.767150998	0.75895977	0.661663711	0.750068307	0.711366932					
Curcumin	KEGG_hsa04658	0.6951437	0.772534013	0.698005438	0.558180571	0.672372282	0.628670871	0.776451051	0.700403035	0.747521698	0.557464898	0.644487202	0.648117959	0.69396311	0.658653438	0.780272901	0.682149478					
Curcumin	KEGG_hsa00740	0.109002806	0.111520372	0.07359127	0.091373913	0.106402621	0.047375899	0.123221539	0.027004002	0.082153812	0.335903227	0.157996625	0.116467267	0.063738622	0.113391206	0.134330571	0.11289825					
